t;v
6.150;-0.06
6.155;-0.06
6.160;-0.06
6.165;-0.06
6.170;-0.05
6.175;-0.05
6.180;-0.06
6.185;-0.05
6.190;-0.05
6.195;-0.06
6.200;-0.06
6.205;-0.05
6.210;-0.06
6.215;-0.06
6.220;-0.06
6.225;-0.05
6.230;-0.05
6.235;-0.06
6.240;-0.06
6.245;-0.06
6.250;-0.06
6.255;-0.08
6.260;-0.08
6.265;-0.06
6.270;-0.06
6.275;-0.06
6.280;-0.06
6.285;-0.08
6.290;-0.06
6.295;-0.06
6.300;-0.06
6.305;-0.08
6.310;-0.08
6.315;-0.08
6.320;-0.06
6.325;-0.08
6.330;-0.08
6.335;-0.08
6.340;-0.05
6.345;-0.06
6.350;-0.06
6.355;-0.06
6.360;-0.08
6.365;-0.08
6.370;-0.08
6.375;-0.05
6.380;-0.06
6.385;-0.06
6.390;-0.06
6.395;-0.05
6.400;-0.08
6.405;-0.06
6.410;-0.06
6.415;-0.06
6.420;-0.06
6.425;-0.05
6.430;-0.08
6.435;-0.06
6.440;-0.06
6.445;-0.08
6.450;-0.06
6.455;-0.06
6.460;-0.08
6.465;-0.10
6.470;-0.05
6.475;-0.06
6.480;-0.06
6.485;-0.08
6.490;-0.08
6.495;-0.06
6.500;-0.06
6.505;-0.06
6.510;-0.06
6.515;-0.06
6.520;-0.06
6.525;-0.06
6.530;-0.05
6.535;-0.08
6.540;-0.06
6.545;-0.06
6.550;-0.08
6.555;-0.08
6.560;-0.06
6.565;-0.06
6.570;-0.05
6.575;-0.06
6.580;-0.08
6.585;-0.08
6.590;-0.06
6.595;-0.08
6.600;-0.06
6.605;-0.06
6.610;-0.06
6.615;-0.06
6.620;-0.06
6.625;-0.06
6.630;-0.06
6.635;-0.06
6.640;-0.06
6.645;-0.08
6.650;-0.06
6.655;-0.06
6.660;-0.06
6.665;-0.06
6.670;-0.05
6.675;-0.05
6.680;-0.06
6.685;-0.08
6.690;0.72
6.695;6.00
6.700;9.04
6.705;10.27
6.710;10.83
6.715;11.08
6.720;11.17
6.725;11.25
6.730;11.28
6.735;11.30
6.740;11.28
6.745;11.30
6.750;11.30
6.755;11.28
6.760;11.30
6.765;11.32
6.770;11.32
6.775;11.35
6.780;11.33
6.785;11.33
6.790;11.32
6.795;11.32
6.800;11.33
6.805;11.28
6.810;11.30
6.815;11.32
6.820;11.33
6.825;11.32
6.830;11.32
6.835;11.32
6.840;11.32
6.845;11.33
6.850;11.32
6.855;11.33
6.860;11.27
6.865;11.28
6.870;11.30
6.875;11.32
6.880;11.30
6.885;11.32
6.890;11.30
6.895;11.28
6.900;11.33
6.905;11.33
6.910;11.32
6.915;11.33
6.920;11.32
6.925;11.32
6.930;11.33
6.935;11.32
6.940;11.33
6.945;11.32
6.950;11.32
6.955;11.33
6.960;11.33
6.965;11.33
6.970;11.33
6.975;11.32
6.980;11.33
6.985;11.32
6.990;11.32
6.995;11.32
7.000;11.33
7.005;11.33
7.010;11.32
7.015;11.32
7.020;11.33
7.025;11.33
7.030;11.33
7.035;11.33
7.040;11.33
7.045;11.36
7.050;11.33
7.055;11.33
7.060;11.32
7.065;11.33
7.070;11.33
7.075;11.33
7.080;11.33
7.085;11.33
7.090;11.30
7.095;11.32
7.100;11.32
7.105;11.33
7.110;11.32
7.115;11.32
7.120;11.32
7.125;11.32
7.130;11.28
7.135;11.32
7.140;11.32
7.145;11.30
7.150;11.30
7.155;11.32
7.160;11.32
7.165;11.33
7.170;11.35
7.175;11.32
7.180;11.32
7.185;11.33
7.190;11.33
7.195;11.32
7.200;11.32
7.205;11.32
7.210;11.35
7.215;11.33
7.220;11.33
7.225;11.33
7.230;11.33
7.235;11.32
7.240;11.32
7.245;11.30
7.250;11.32
7.255;11.32
7.260;11.32
7.265;11.32
7.270;11.32
7.275;11.32
7.280;11.33
7.285;11.32
7.290;11.33
7.295;11.32
7.300;11.32
7.305;11.32
7.310;11.32
7.315;11.32
7.320;11.32
7.325;11.32
7.330;11.32
7.335;11.32
7.340;11.35
7.345;11.32
7.350;11.33
7.355;11.33
7.360;11.32
7.365;11.33
7.370;11.35
7.375;11.33
7.380;11.35
7.385;11.32
7.390;11.32
7.395;11.32
7.400;11.33
7.405;11.32
7.410;11.32
7.415;11.28
7.420;11.33
7.425;11.32
7.430;11.30
7.435;11.32
7.440;11.32
7.445;11.32
7.450;11.30
7.455;11.32
7.460;11.33
7.465;11.32
7.470;11.33
7.475;11.32
7.480;11.30
7.485;11.32
7.490;11.30
7.495;11.30
7.500;11.32
7.505;11.32
7.510;11.33
7.515;11.33
7.520;11.27
7.525;11.30
7.530;11.32
7.535;11.30
7.540;11.32
7.545;11.33
7.550;11.32
7.555;11.32
7.560;11.33
7.565;11.32
7.570;11.32
7.575;11.35
7.580;11.32
7.585;11.30
7.590;11.32
7.595;11.33
7.600;11.28
7.605;11.33
7.610;11.32
7.615;11.32
7.620;11.30
7.625;11.32
7.630;11.32
7.635;11.30
7.640;11.30
7.645;11.30
7.650;11.30
7.655;11.28
7.660;11.30
7.665;11.33
7.670;11.33
7.675;11.33
7.680;11.33
7.685;11.33
7.690;11.32
7.695;11.33
7.700;11.33
7.705;11.33
7.710;11.32
7.715;11.32
7.720;11.32
7.725;11.35
7.730;11.32
7.735;11.32
7.740;11.30
7.745;11.32
7.750;11.33
7.755;11.32
7.760;11.32
7.765;11.33
7.770;11.33
7.775;11.35
7.780;11.33
7.785;11.32
7.790;11.33
7.795;11.32
7.800;11.33
7.805;11.32
7.810;11.32
7.815;11.33
7.820;11.33
7.825;11.33
7.830;11.33
7.835;11.32
7.840;11.33
7.845;11.33
7.850;11.32
7.855;11.28
7.860;11.30
7.865;11.32
7.870;11.32
7.875;11.33
7.880;11.32
7.885;11.32
7.890;11.33
7.895;11.32
7.900;11.33
7.905;11.32
7.910;11.33
7.915;11.32
7.920;11.30
7.925;11.30
7.930;11.32
7.935;11.33
7.940;11.32
7.945;11.30
7.950;11.32
7.955;11.33
7.960;11.33
7.965;11.33
7.970;11.35
7.975;11.33
7.980;11.32
7.985;11.33
7.990;11.33
7.995;11.32
8.000;11.32
8.005;11.32
8.010;11.32
8.015;11.32
8.020;11.32
8.025;11.32
8.030;11.33
8.035;11.33
8.040;11.32
8.045;11.32
8.050;11.33
8.055;11.33
8.060;11.33
8.065;11.32
8.070;11.32
8.075;11.32
8.080;11.33
8.085;11.33
8.090;11.32
8.095;11.33
8.100;11.19
8.105;7.59
8.110;3.13
8.115;1.35
8.120;0.59
8.125;0.24
8.130;0.11
8.135;0.03
8.140;0.00
8.145;0.00
8.150;-0.03
8.155;-0.05
8.160;-0.05
8.165;-0.03
8.170;-0.03
8.175;-0.03
8.180;-0.05
8.185;-0.06
8.190;-0.06
8.195;-0.05
8.200;-0.05
8.205;-0.06
8.210;-0.05
8.215;-0.05
8.220;-0.06
8.225;-0.06
8.230;-0.08
8.235;-0.08
8.240;-0.06
8.245;-0.10
8.250;-0.08
8.255;-0.10
8.260;-0.06
8.265;-0.06
8.270;-0.08
8.275;-0.06
8.280;-0.08
8.285;-0.08
8.290;-0.05
8.295;-0.06
8.300;-0.08
8.305;-0.06
